what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1506638798551
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1506638798551
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1506638798551
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1506638798551
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1506638798551
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1506638798551
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1506638798551
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1506638798551
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1506638798551
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1506638798551
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1506638798551
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1506638798551
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1506638798551
os,sysinfo,,,"win32",1506638798567
arch,sysinfo,,,"x86",1506638798567
ws,sysinfo,,,"win32",1506638798567
locale,sysinfo,,,"ko_KR",1506638798567
processors,sysinfo,,,"8",1506638798567
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1506638798567
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1506638798567
java.specification.name,sysinfo,,,"Java Platform API Specification",1506638798567
java.specification.vendor,sysinfo,,,"Oracle Corporation",1506638798567
java.specification.version,sysinfo,,,"1.7",1506638798567
java.vendor,sysinfo,,,"Oracle Corporation",1506638798567
java.version,sysinfo,,,"1.7.0_01",1506638798567
java.vm.info,sysinfo,,,"mixed mode, sharing",1506638798567
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1506638798567
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1506638798567
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1506638798567
java.vm.specification.version,sysinfo,,,"1.7",1506638798567
java.vm.vendor,sysinfo,,,"Oracle Corporation",1506638798567
java.vm.version,sysinfo,,,"21.1-b02",1506638798567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506638801780
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506638808225
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1506638808241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506638819285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506641352423
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1506641353506
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1506641356407
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506641361059
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1506641361075
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1506641361090
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506641363009
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506641363025
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506641363742
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1506641364803
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506641365006
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506641365037
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506641368067
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1506641385398
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1506641385586
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1506641385632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506641397820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506641402566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1506641402566
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506643694235
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1506643713180
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1506643713305
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1506643713586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506643713601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506643714132
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1506643729363
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506643730580
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1506643733812
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1506645229456
opened,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506645229630
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506645229661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645240817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645244957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1506645244973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645262532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645269556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1506645269556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645273721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645278907
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1506645278923
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1506645284743
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506645310864
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1506645350932
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506645363011
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1506645495183
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506645522372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1506645605293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1506645606516
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1506645607405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645607920
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1506645607936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1506645608107
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645610775
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1506645642826
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506645644479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645647414
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506645652210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506647165033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506651637109
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506651639795
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506656365109
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1506656372241
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506656374134
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506656375011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506656397267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1506656742877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1506669871993
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1506669889619
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506669894729
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1506669894744
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1506669894760
